CURRENT MEDICATIONS OVERVIEW,,
MEDICATION,GENE(S),PRESCRIBING CONSIDERATIONS BASED ON myDNA TEST
"Pantoprazole",CYP2C19,"Minor – result should be considered as may affect medicationresponse"
"Escitalopram(Esipram)",CYP2C19,Usual prescribing considerations apply
MEDICATIONS WITH MAJOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
Antiarrhythmics,Flecainide,CYP2D6,Adverse effects,DPWG2
"",Propafenone,CYP2D6,Adverse effects,DPWG2
"Antidepressants -tricyclicantidepressants",Amitriptyline,"CYP2D6CYP2C19",Adverse effects,CPIC3
"",Clomipramine,"CYP2D6CYP2C19",Adverse effects,CPIC3
"",Desipramine,CYP2D6,Adverse effects,CPIC3
"",Doxepin,"CYP2D6CYP2C19",Adverse effects,CPIC3
"",Imipramine,"CYP2D6CYP2C19",Adverse effects,CPIC3
"",Nortriptyline,CYP2D6,Adverse effects,CPIC3
Beta blockers,Metoprolol,CYP2D6,Adverse effects,DPWG2
Calcineurin inhibitors,Tacrolimus,CYP3A5,Reduced / inadequate response,CPIC4
"Immunomodulatorsand antineoplastics",Tamoxifen,CYP2D6,Reduced / inadequate response,CPIC5
Opioid Analgesics,Codeine,"CYP2D6OPRM1",Reduced / inadequate response,CPIC6
"",Tramadol,CYP2D6,Reduced / inadequate response,DPWG2
Statins,Simvastatin,"SLCO1B1CYP3A4",Adverse effects,CPIC7
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"ADHD -miscellaneous agents",Atomoxetine,CYP2D6,Adverse effects,-
Anticholinergics,Darifenacin,CYP2D6,Adverse effects,-
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"(genitourinary)",Fesoterodine,CYP2D6,Adverse effects,-
"",Tolterodine,CYP2D6,Adverse effects,-
Anticholinesterases,Donepezil,CYP2D6,Adverse effects,-
"",Galantamine,CYP2D6,Adverse effects,-
"Antidepressants -other",Mirtazapine,"CYP2D6CYP1A2",Altered response,-
"",Vortioxetine,CYP2D6,Adverse effects,-
"Antidepressants -serotoninnoradrenalinereuptake inhibitors",Duloxetine,"CYP2D6CYP1A2",Altered response,-
"",Venlafaxine,CYP2D6,Adverse effects,DPWG2
"Antidepressants -SSRIs",Fluoxetine,"CYP2D6CYP2C9",Altered response,-
"",Fluvoxamine,"CYP2D6CYP1A2",Adverse effects,CPIC1
"",Paroxetine,CYP2D6,Adverse effects,CPIC1
Antiemetics,Metoclopramide,CYP2D6,Adverse effects,-
"",Ondansetron,CYP2D6,"Increased therapeutic and/oradverse effects",CPIC8
Antihistamines,Chlorpheniramine,CYP2D6,Adverse effects,-
"",Dexchlorpheniramine,CYP2D6,Adverse effects,-
"",Promethazine,CYP2D6,Adverse effects,-
Antipsychotics,Aripiprazole,CYP2D6,Adverse effects,-
"",Brexpiprazole,CYP2D6,Adverse effects,-
"",Chlorpromazine,CYP2D6,Adverse effects,-
"",Clozapine,CYP1A2,Reduced / inadequate response,-
"",Haloperidol,CYP2D6,Adverse effects,-
"",Olanzapine,CYP1A2,Reduced / inadequate response,-
"",Pimozide,CYP2D6,Adverse effects,
"",Risperidone,CYP2D6,Adverse effects,DPWG2
"",Zuclopenthixol,CYP2D6,Adverse effects,DPWG2
Antitussives,Dextromethorphan,CYP2D6,Adverse effects,-
Beta blockers,Carvedilol,CYP2D6,Adverse effects,-
"",Nebivolol,CYP2D6,Adverse effects,-
"",Propranolol,"CYP2D6CYP1A2",Altered response,-
"Glaucoma - ocularpreparations",Timolol,CYP2D6,Adverse effects,-
Hypnotics,Melatonin,CYP1A2,Reduced / inadequate response,-
Miscellaneous,Atazanavir,CYP3A5,Reduced / inadequate response,-
"",Eliglustat,CYP2D6,Adverse effects,TGA9
"",Naltrexone,OPRM1,"Associated with reducedresponse to naltrexone",
Neurological drugs,Tetrabenazine,CYP2D6,Adverse effects,FDA10
Opioid Analgesics,Hydrocodone,CYP2D6,Altered response,
"",Morphine,OPRM1,"Associated with increasedtherapeutic and/or adverseeffects to morphine",-
"",Oxycodone,CYP2D6,Reduced / inadequate response,DPWG2
"Proton pumpinhibitors",Dexlansoprazole,CYP2C19,Reduced / inadequate response,-
Esomeprazole,CYP2C19,Reduced / inadequate response,-,
Lansoprazole,CYP2C19,Reduced / inadequate response,-,
Omeprazole,CYP2C19,Reduced / inadequate response,-,
MEDICATIONS WITH MINOR PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"",Pantoprazole,CYP2C19,Reduced / inadequate response,-
"",Rabeprazole,CYP2C19,Reduced / inadequate response,-
Psychostimulants,Dextroamphetamine,CYP2D6,Adverse effects,-
"",Lisdexamfetamine,CYP2D6,Adverse effects,-
Statins,Atorvastatin,"SLCO1B1CYP3A4",Adverse effects,-
MEDICATIONS WITH USUAL PRESCRIBING CONSIDERATIONS,,,,
DRUG CATEGORY,MEDICATION,"GENE(S)INVOLVED",POTENTIAL CLINICAL ISSUES,"PUBLISHEDGUIDELINES"
"Angiotensin receptorblockers",Irbesartan,CYP2C9,"No altered effect predicted bygenotype",-
"",Losartan,CYP2C9,"No altered effect predicted bygenotype",-
Anticoagulants,Acenocoumarol,"VKORC1CYP2C9",Normal acenocoumarol sensitivity,
"",Warfarin,"VKORC1CYP2C9",Normal warfarin sensitivity,FDA11
"Antidepressants -other",Moclobemide,CYP2C19,"No altered effect predicted bygenotype",-
"Antidepressants -SSRIs",Citalopram,CYP2C19,"No altered effect predicted bygenotype",CPIC1
